I II V1 V2 V3 V4 V5 V6
10 2 32 64 20 2 -2 4
10 2 31 61 20 2 -2 4
10 1 29 57 19 1 -3 3
9 0 27 54 18 1 -3 2
7 0 26 52 18 2 -3 2
6 1 26 50 18 2 -2 3
7 2 25 47 17 2 -2 2
7 2 23 44 17 3 0 2
5 2 23 42 17 4 1 2
4 1 23 39 16 3 1 1
6 3 23 37 17 5 2 1
7 3 23 35 17 6 2 2
4 0 21 32 15 5 1 1
2 -4 19 29 13 3 0 0
2 -4 18 27 13 3 0 0
1 -4 18 25 14 4 1 0
1 -4 17 23 13 4 1 1
1 -3 16 21 12 4 1 0
1 -3 16 20 12 5 2 0
-2 -4 16 18 11 6 2 1
-3 -5 15 16 10 6 2 0
-4 -6 14 15 9 6 1 -2
-4 -5 13 13 8 4 1 -2
-4 -5 13 12 8 3 1 -2
-4 -5 13 9 8 3 1 -2
-4 -5 12 8 7 3 0 -2
-2 -4 11 7 6 2 0 -2
-3 -3 10 7 7 4 1 0
-5 -3 11 7 7 5 1 0
-5 -5 11 6 7 5 1 -2
-4 -7 9 5 5 4 0 -4
-4 -7 9 4 5 4 0 -4
-5 -6 9 4 5 4 1 -3
-5 -5 9 4 5 4 1 -3
-5 -6 9 3 5 4 1 -3
-6 -6 9 2 4 4 1 -3
-6 -5 9 2 5 4 2 -3
-6 -5 9 2 5 4 3 -2
-6 -5 9 2 5 5 3 -2
-7 -6 10 3 6 6 4 0
-5 -6 10 2 6 5 3 -2
-4 -4 11 3 6 6 3 -2
-5 -4 10 3 6 5 2 -3
-8 -7 8 2 4 4 1 -4
-8 -7 7 1 4 3 1 -4
-4 -4 8 2 5 4 2 -3
-3 -2 8 2 5 5 2 -2
-5 -3 9 2 5 4 2 -2
-6 -2 9 2 6 5 3 0
-5 0 10 2 6 4 2 0
-6 -2 11 3 6 5 2 1
-7 -4 11 3 6 6 2 1
-8 -4 10 4 8 6 3 0
-7 -3 10 5 9 6 4 0
-5 -3 9 5 8 6 3 0
-5 -3 9 5 8 5 4 0
-6 -3 9 5 8 5 3 0
-7 -4 10 5 9 7 3 0
-7 -3 10 6 9 8 4 0
-6 -3 9 6 8 7 3 -2
-6 -3 9 5 9 7 3 -2
-6 -4 9 6 10 8 4 -2
-6 -5 9 7 10 8 4 0
-6 -5 10 7 10 8 5 1
-5 -3 10 7 10 8 4 1
-3 -2 9 7 10 8 4 0
-3 -2 9 7 10 8 4 0
-4 -2 8 7 10 8 4 0
-6 0 9 7 10 9 6 1
-6 1 9 8 11 9 5 0
-4 2 9 8 11 9 5 0
-4 1 10 8 12 10 5 1
-5 -2 9 7 11 9 5 1
-6 -3 9 8 11 8 4 0
-5 -2 10 9 13 10 5 1
-5 0 9 8 12 10 5 0
-5 0 8 8 12 10 5 -2
-6 -2 8 9 13 10 6 -2
-6 0 10 10 14 12 6 1
-5 1 11 11 15 12 7 1
-6 -2 10 10 15 12 7 0
-7 -3 9 9 14 11 7 0
-6 -2 9 9 14 11 7 1
-3 1 9 10 14 11 7 1
-3 0 9 10 15 12 8 3
-6 -2 9 10 14 11 9 3
-6 -4 8 9 13 11 9 3
-6 -3 7 9 13 10 7 1
-6 -2 8 10 14 11 8 2
-5 0 8 9 14 11 7 1
-4 0 8 9 14 11 6 0
-4 -2 7 8 13 10 5 -2
-4 0 8 9 13 10 4 -2
-4 0 9 9 13 10 4 -2
-5 -2 8 8 13 11 5 0
-7 -3 7 7 13 11 6 0
-8 -3 6 6 13 10 6 0
-9 -4 7 7 14 11 6 0
-9 -4 7 6 13 11 5 0
-6 -2 7 6 13 11 6 0
-4 0 8 6 13 11 7 0
-5 -3 6 4 12 10 5 -2
-8 -5 6 4 11 9 4 -3
-7 -4 6 4 11 9 4 -3
-5 -3 7 3 11 8 4 -3
-4 -3 7 3 11 7 4 -3
-7 -3 7 3 11 7 4 -2
-9 -3 6 3 11 8 4 -2
-7 1 6 3 11 8 4 -2
-6 2 6 2 10 7 3 -3
-7 -2 6 2 10 7 3 -3
-7 -3 6 2 10 8 3 -3
-5 -2 6 2 10 8 3 -3
-4 -3 7 2 10 8 4 -2
-7 -6 6 2 10 8 4 -2
-9 -8 3 0 8 6 2 -3
-9 -8 3 0 8 7 2 -3
-5 -4 3 -2 8 7 1 -3
-4 -2 4 0 8 7 2 -3
-7 -5 4 -2 8 6 1 -4
-10 -8 3 -4 7 5 1 -6
-10 -7 2 -4 6 5 2 -5
-9 -5 3 -3 6 6 2 -5
-8 -4 3 -4 5 5 1 -6
-7 -4 3 -4 5 4 1 -6
-7 -4 3 -4 6 4 1 -6
-9 -5 4 -3 7 5 2 -5
-10 -6 4 -4 7 6 2 -5
-10 -7 4 -5 6 6 2 -5
-9 -7 4 -4 6 6 2 -4
-8 -7 3 -5 5 4 1 -4
-8 -7 1 -6 4 3 0 -5
-9 -8 1 -5 4 3 0 -5
-8 -6 1 -6 4 3 0 -5
-8 -6 2 -7 4 3 0 -5
-9 -7 2 -6 4 3 0 -4
-9 -9 1 -6 3 1 0 -5
-9 -8 2 -6 3 2 0 -5
-9 -7 2 -6 3 2 0 -5
-9 -7 3 -6 4 3 0 -5
-9 -7 2 -6 4 2 0 -5
-9 -8 2 -7 3 2 -2 -7
-9 -9 1 -8 2 1 -3 -8
-10 -7 1 -9 2 1 -3 -8
-9 -6 0 -9 1 0 -4 -9
-9 -6 0 -8 1 0 -4 -9
-7 -6 -2 -9 1 0 -4 -10
-8 -6 -2 -9 0 0 -4 -10
-9 -6 0 -10 0 -2 -5 -10
-9 -6 0 -9 1 -2 -5 -11
-9 -6 0 -9 1 -2 -6 -10
-9 -7 1 -9 1 0 -5 -9
-11 -8 1 -9 1 -2 -5 -9
-10 -9 -2 -10 0 -3 -6 -10
-9 -9 -3 -12 -3 -4 -7 -10
-10 -7 -2 -11 -2 -3 -6 -8
-10 -7 1 -10 0 -2 -4 -7
-8 -7 1 -10 1 0 -3 -7
-7 -5 2 -10 1 1 -3 -7
-9 -7 3 -9 2 1 -3 -7
-11 -10 1 -10 0 0 -4 -9
-9 -9 -2 -11 -2 -2 -5 -10
-8 -6 0 -10 0 0 -4 -10
-10 -7 0 -10 1 0 -4 -10
-12 -9 -3 -12 -2 -3 -4 -11
-13 -9 -4 -12 -3 -3 -5 -11
-11 -7 -3 -11 -2 -3 -5 -10
-12 -6 0 -11 -2 -3 -5 -10
-12 -8 -2 -13 -3 -3 -6 -10
-10 -8 -2 -13 -4 -3 -6 -11
-8 -6 0 -13 -3 -4 -6 -10
-9 -7 1 -12 -2 -3 -6 -10
-11 -8 1 -12 -2 -3 -6 -10
-10 -8 0 -13 -2 -4 -6 -11
-10 -8 0 -13 -2 -4 -6 -10
-11 -8 1 -12 -2 -3 -6 -9
-11 -8 1 -12 -2 -3 -6 -10
-11 -8 1 -12 -2 -3 -6 -10
-11 -8 0 -13 -2 -3 -6 -10
-10 -8 -2 -13 -3 -3 -6 -10
-11 -7 0 -13 -2 -3 -6 -10
-11 -7 0 -13 -2 -3 -6 -10
-10 -5 0 -13 -2 -3 -6 -10
-9 -3 0 -12 0 -3 -5 -9
-9 -2 1 -12 1 -2 -4 -8
-9 -3 1 -11 0 0 -5 -8
-9 -4 1 -10 1 1 -4 -8
-9 -3 1 -10 2 1 -4 -9
-9 0 4 -9 3 2 -2 -7
-9 1 5 -9 4 2 -2 -7
-9 2 5 -8 4 2 -2 -7
-10 2 4 -8 4 1 -2 -7
-10 2 5 -8 4 1 -2 -8
-10 2 6 -8 4 1 -3 -8
-9 1 7 -9 4 2 -3 -9
-8 4 8 -7 5 4 -2 -8
-6 8 10 -5 7 5 1 -6
-8 8 11 -4 8 6 2 -4
-9 5 11 -3 8 6 2 -4
-9 5 11 0 9 7 3 -3
-7 8 11 0 10 8 5 -2
-7 11 12 1 13 10 8 1
-5 15 11 2 15 12 10 4
0 20 9 3 16 14 12 6
3 21 7 2 15 15 12 7
2 18 4 -2 13 13 10 7
0 14 3 -2 12 11 10 6
1 11 1 -4 10 9 8 4
-2 7 -2 -6 8 7 6 1
-4 5 -4 -8 6 5 4 -2
-3 5 -4 -9 6 5 3 0
0 6 -5 -10 5 4 3 -2
2 5 -6 -10 4 4 3 -2
3 5 -7 -11 4 5 2 0
1 5 -7 -11 4 5 3 0
-2 3 -8 -13 2 3 2 0
-3 4 -8 -14 1 2 1 0
-3 6 -6 -14 2 3 3 2
-3 8 -6 -15 1 3 3 2
-3 8 -5 -15 1 2 3 1
-5 8 -5 -15 1 2 3 0
-8 5 -4 -15 1 1 2 -3
-11 1 -4 -16 -2 -2 -2 -6
-13 -3 -3 -16 -3 -3 -4 -7
-14 -6 -3 -17 -3 -4 -4 -9
-13 -8 -4 -18 -5 -5 -6 -11
-12 -10 -6 -19 -7 -7 -9 -12
-12 -12 -6 -19 -8 -7 -10 -13
-13 -13 -7 -21 -10 -9 -11 -15
-13 -13 -8 -23 -11 -11 -12 -16
-12 -14 -8 -24 -11 -12 -13 -16
-12 -14 -8 -24 -11 -12 -13 -15
-13 -14 -7 -22 -10 -10 -11 -14
-12 -12 -6 -22 -9 -10 -12 -15
-12 -12 -5 -22 -9 -10 -12 -14
-13 -14 -5 -22 -10 -10 -12 -15
-13 -14 -6 -21 -9 -9 -11 -14
-13 -13 -7 -21 -9 -9 -11 -14
-13 -12 -7 -21 -9 -8 -11 -15
-14 -12 -7 -21 -9 -8 -11 -15
-14 -12 -7 -21 -9 -8 -11 -16
-15 -13 -6 -21 -8 -8 -11 -16
-15 -14 -7 -22 -9 -9 -12 -17
-15 -14 -7 -22 -9 -10 -12 -17
-14 -13 -5 -20 -8 -9 -11 -16
-13 -12 -4 -20 -7 -9 -10 -15
-13 -13 -5 -20 -9 -10 -12 -16
-14 -14 -5 -20 -9 -9 -12 -16
-13 -12 -5 -20 -9 -10 -12 -16
-12 -12 -4 -19 -8 -9 -11 -15
-12 -12 -4 -20 -8 -10 -10 -15
-13 -12 -5 -21 -9 -11 -12 -16
-15 -13 -5 -20 -8 -11 -12 -16
-16 -14 -3 -19 -7 -10 -11 -15
-16 -14 -3 -19 -7 -10 -11 -15
-15 -15 -4 -19 -8 -9 -12 -15
-15 -14 -5 -20 -9 -10 -12 -16
-15 -14 -5 -19 -9 -9 -12 -16
-15 -15 -3 -18 -8 -7 -10 -15
-14 -14 -4 -19 -8 -7 -11 -15
-14 -14 -3 -19 -8 -7 -10 -15
-15 -15 -2 -17 -7 -7 -11 -16
-15 -15 -2 -16 -7 -8 -13 -17
-16 -16 1 -15 -6 -9 -14 -19
-17 -16 4 -10 -4 -8 -15 -20
-18 -16 7 -4 1 -7 -16 -21
-19 -16 12 6 8 -4 -15 -22
-18 -15 16 17 19 3 -12 -20
-15 -13 17 27 30 11 -8 -18
-11 -11 22 43 47 25 2 -12
-9 -4 32 68 73 50 18 0
-6 5 42 94 106 79 40 13
-4 11 48 114 142 113 65 28
1 14 53 133 181 152 91 44
7 17 61 149 217 191 116 58
14 24 67 155 246 223 139 72
22 34 69 154 267 251 162 89
31 45 59 136 268 261 178 104
39 49 33 86 230 237 174 110
46 51 -8 0 143 172 147 105
49 54 -57 -120 14 70 101 94
43 52 -103 -259 -128 -41 46 74
31 37 -141 -389 -257 -146 -19 42
21 14 -178 -499 -369 -240 -83 3
18 -7 -220 -583 -455 -308 -128 -22
22 -15 -256 -615 -487 -329 -143 -29
26 -19 -270 -594 -473 -321 -143 -30
26 -21 -269 -564 -453 -310 -142 -30
21 -14 -262 -533 -432 -297 -138 -30
10 2 -239 -485 -390 -269 -123 -23
-4 19 -212 -428 -339 -232 -103 -14
-9 26 -194 -383 -300 -204 -89 -8
-10 25 -183 -348 -271 -186 -80 -8
-9 25 -175 -317 -245 -169 -75 -11
-8 25 -163 -283 -218 -149 -66 -10
-8 23 -149 -251 -192 -133 -60 -12
-9 19 -136 -223 -172 -119 -57 -14
-11 14 -120 -193 -149 -105 -52 -15
-12 9 -104 -163 -128 -91 -47 -17
-10 5 -85 -133 -104 -75 -41 -17
-9 4 -63 -102 -80 -59 -33 -15
-8 2 -48 -79 -62 -47 -27 -13
-9 -3 -38 -64 -51 -40 -25 -14
-9 -6 -30 -50 -40 -32 -21 -13
-9 -6 -22 -38 -30 -25 -17 -11
-9 -6 -16 -30 -24 -21 -15 -11
-9 -8 -12 -25 -21 -20 -15 -11
-9 -10 -9 -21 -19 -18 -15 -11
-10 -12 -8 -19 -17 -17 -15 -12
-11 -12 -7 -17 -15 -16 -14 -12
-12 -12 -5 -14 -13 -14 -13 -12
-12 -14 -4 -13 -13 -15 -13 -12
-9 -13 -5 -11 -12 -14 -12 -12
-7 -12 -3 -8 -10 -11 -10 -10
-7 -12 -4 -8 -10 -11 -11 -11
-9 -13 -5 -9 -10 -13 -14 -12
-9 -12 -4 -7 -9 -12 -14 -12
-9 -12 0 -5 -8 -11 -13 -12
-10 -13 0 -3 -6 -12 -14 -13
-11 -13 1 0 -5 -11 -13 -14
-11 -14 2 1 -4 -11 -14 -15
-10 -15 2 2 -4 -9 -13 -15
-9 -15 3 4 -2 -8 -12 -13
-8 -14 2 3 -2 -8 -12 -12
-8 -14 2 3 -2 -8 -12 -12
-9 -15 4 6 1 -6 -11 -10
-9 -15 5 7 1 -6 -10 -10
-11 -15 5 6 1 -7 -11 -11
-11 -15 6 7 2 -6 -11 -11
-8 -13 8 11 5 -4 -10 -10
