I II V1 V2 V3 V4 V5 V6
-5 3 -9 -8 -17 -20 -17 -12
-3 6 -9 -7 -16 -18 -15 -12
5 12 -8 -5 -13 -16 -12 -9
8 16 -6 -3 -11 -14 -11 -7
4 13 -7 -4 -13 -15 -12 -8
-2 9 -7 -6 -14 -17 -13 -10
-4 8 -8 -7 -15 -17 -14 -10
-4 8 -8 -7 -16 -17 -15 -11
-2 10 -8 -7 -16 -17 -14 -10
4 14 -8 -6 -15 -16 -13 -9
5 16 -7 -6 -14 -16 -12 -9
2 14 -8 -7 -15 -17 -13 -11
0 13 -9 -8 -16 -18 -14 -11
1 15 -10 -8 -17 -18 -15 -11
2 15 -9 -7 -17 -17 -14 -10
1 14 -9 -7 -17 -16 -14 -9
1 13 -9 -8 -17 -17 -15 -10
1 14 -9 -8 -16 -17 -15 -10
1 15 -10 -9 -17 -18 -15 -11
1 15 -10 -9 -16 -18 -15 -11
2 16 -9 -8 -16 -17 -14 -11
2 18 -10 -9 -18 -18 -15 -12
3 18 -10 -10 -18 -18 -15 -12
2 18 -11 -10 -18 -18 -15 -12
2 19 -11 -9 -17 -17 -15 -11
1 19 -11 -9 -17 -18 -15 -11
1 19 -11 -10 -19 -19 -16 -12
0 18 -11 -11 -19 -19 -16 -12
0 16 -11 -11 -20 -20 -17 -12
0 17 -11 -11 -20 -20 -17 -12
0 17 -10 -10 -19 -19 -16 -12
1 15 -10 -9 -18 -18 -15 -11
1 13 -9 -8 -17 -17 -13 -9
1 11 -8 -7 -16 -16 -13 -9
1 11 -8 -8 -16 -16 -13 -9
0 9 -7 -8 -16 -16 -14 -9
-2 6 -8 -8 -17 -17 -14 -9
-4 3 -7 -8 -18 -17 -13 -9
-4 2 -7 -8 -18 -17 -14 -9
0 3 -6 -7 -16 -15 -13 -8
3 4 -6 -7 -16 -15 -12 -8
4 4 -5 -5 -14 -14 -10 -6
3 2 -4 -5 -14 -14 -10 -6
2 -2 -4 -5 -14 -14 -10 -6
1 -4 -3 -4 -13 -13 -10 -5
2 -5 -3 -4 -13 -13 -10 -5
3 -6 -3 -4 -13 -12 -9 -4
2 -7 -3 -4 -12 -11 -8 -4
2 -8 -3 -4 -13 -12 -9 -5
1 -11 -2 -3 -11 -11 -9 -4
2 -11 -2 -4 -13 -12 -10 -5
3 -9 -2 -2 -12 -11 -8 -4
3 -7 -2 -3 -12 -11 -8 -4
0 -9 -2 -4 -13 -12 -9 -5
-4 -11 -2 -4 -13 -12 -9 -4
-3 -9 0 -3 -11 -11 -8 -3
1 -4 -2 -2 -10 -10 -7 -2
3 0 1 0 -8 -8 -5 1
4 1 1 0 -8 -7 -5 0
3 1 1 0 -8 -7 -6 -2
0 -2 1 1 -8 -7 -5 -2
-4 -4 1 1 -8 -8 -5 -2
-4 -3 1 0 -9 -8 -6 -3
2 3 5 3 -7 -6 -5 0
7 7 8 6 -6 -5 -4 2
5 5 8 6 -6 -5 -4 1
2 3 7 6 -6 -6 -4 0
2 3 7 6 -5 -5 -4 -2
2 5 6 5 -4 -4 -4 0
2 7 6 5 -3 -3 -3 1
1 6 4 3 -5 -4 -3 1
0 5 0 1 -7 -5 -3 1
-2 4 -5 -3 -9 -6 -4 2
0 5 -8 -5 -9 -6 -4 2
5 11 -10 -5 -9 -5 -2 4
11 16 -10 -4 -8 -4 1 6
10 14 -12 -6 -10 -6 0 4
5 8 -12 -8 -10 -8 -3 2
4 7 -12 -7 -10 -7 -2 3
5 7 -12 -7 -10 -6 -2 4
4 5 -13 -7 -11 -6 -2 4
1 2 -13 -6 -11 -5 0 5
3 3 -12 -5 -10 -5 1 6
7 7 -12 -5 -10 -6 0 5
8 8 -11 -5 -9 -6 1 6
6 6 -9 -4 -8 -4 1 7
4 3 -9 -4 -8 -4 0 6
3 2 -8 -5 -8 -5 0 5
3 1 -7 -5 -9 -6 -2 5
2 0 -5 -4 -9 -6 -2 5
1 -2 -4 -5 -10 -8 -2 4
1 0 -4 -6 -12 -10 -5 1
3 2 0 -5 -12 -10 -5 1
5 2 0 -5 -13 -11 -6 0
4 1 0 -5 -13 -12 -7 -2
3 0 0 -5 -14 -12 -8 -3
2 -4 0 -6 -14 -12 -8 -3
2 -6 0 -6 -14 -13 -9 -3
1 -7 -2 -7 -15 -15 -10 -4
0 -8 0 -7 -15 -14 -9 -4
0 -10 1 -6 -15 -14 -9 -5
-2 -11 1 -6 -16 -15 -11 -7
-3 -12 2 -6 -16 -14 -12 -6
-2 -12 2 -6 -15 -14 -11 -6
-2 -12 3 -7 -15 -15 -11 -6
-3 -13 2 -7 -16 -16 -12 -8
-3 -14 3 -7 -15 -16 -12 -7
-4 -14 2 -7 -16 -17 -13 -7
-5 -15 3 -6 -16 -16 -13 -7
-5 -16 2 -7 -17 -17 -13 -8
-5 -16 3 -7 -17 -17 -13 -8
1 -12 3 -7 -17 -15 -13 -8
5 -8 5 -5 -17 -14 -12 -6
4 -9 5 -6 -17 -15 -12 -7
0 -12 4 -6 -17 -16 -13 -9
-2 -14 4 -6 -17 -17 -14 -9
-2 -15 5 -5 -16 -17 -13 -8
-2 -16 4 -6 -17 -17 -14 -8
-2 -17 4 -7 -17 -17 -14 -9
-2 -17 4 -7 -18 -17 -14 -9
-3 -17 5 -6 -17 -17 -13 -8
-3 -17 5 -6 -17 -16 -13 -7
-3 -16 5 -6 -17 -16 -14 -8
-2 -15 6 -6 -15 -15 -12 -7
-2 -15 6 -6 -15 -15 -12 -7
-5 -17 5 -7 -17 -17 -14 -8
-7 -20 4 -8 -18 -17 -15 -9
-5 -19 3 -8 -18 -18 -15 -9
-5 -18 4 -8 -18 -18 -15 -9
-5 -17 5 -7 -17 -16 -13 -8
0 -14 6 -6 -16 -15 -12 -7
3 -11 7 -5 -15 -15 -12 -7
1 -12 7 -6 -16 -16 -14 -8
-4 -15 7 -7 -16 -18 -14 -9
-5 -16 9 -6 -18 -19 -15 -8
-5 -15 9 -8 -22 -23 -19 -11
-6 -15 9 -10 -24 -26 -22 -13
-6 -15 10 -10 -23 -26 -22 -13
-6 -16 12 -8 -19 -22 -21 -13
-6 -16 13 -4 -14 -18 -18 -12
-6 -17 15 5 -7 -10 -15 -12
-6 -19 19 16 8 3 -9 -9
-5 -19 22 30 25 19 0 -6
0 -15 25 46 46 39 13 4
6 -8 23 55 63 61 29 15
12 1 16 54 73 81 48 27
17 10 8 45 81 108 71 44
23 20 -4 29 88 137 97 62
28 32 -18 11 89 162 123 81
33 45 -35 -13 82 182 145 98
37 51 -51 -35 72 193 161 111
38 50 -60 -54 57 191 164 113
34 46 -62 -73 34 172 153 107
28 40 -61 -94 3 142 133 96
20 31 -61 -114 -31 104 105 78
12 24 -62 -130 -63 61 72 58
7 21 -60 -135 -87 18 37 36
1 18 -55 -130 -102 -19 9 19
-5 16 -49 -118 -109 -48 -11 7
-6 15 -45 -104 -104 -61 -22 -2
-6 12 -38 -86 -89 -58 -23 -4
-6 9 -34 -72 -75 -53 -23 -6
-5 7 -29 -62 -64 -47 -21 -6
-3 5 -24 -51 -52 -36 -17 -4
0 4 -21 -40 -43 -27 -13 -3
0 1 -18 -32 -35 -24 -12 -3
-3 -3 -14 -26 -29 -20 -10 -3
-4 -6 -10 -21 -25 -18 -10 -4
-5 -9 -8 -16 -21 -16 -8 -4
-5 -10 -6 -12 -18 -16 -9 -5
-4 -10 -2 -8 -14 -14 -8 -5
0 -7 3 -4 -10 -10 -7 -3
2 -4 6 -2 -8 -9 -6 -3
-3 -8 7 -2 -8 -9 -8 -4
-7 -15 4 -4 -10 -12 -10 -6
-8 -15 3 -4 -11 -13 -11 -7
-5 -13 5 0 -10 -11 -10 -6
-4 -12 6 1 -9 -11 -10 -7
-3 -12 7 2 -7 -10 -9 -6
1 -8 9 5 -4 -8 -8 -5
6 -5 10 6 -3 -8 -7 -4
6 -6 11 6 -3 -8 -7 -3
2 -8 9 5 -4 -9 -8 -4
0 -10 10 6 -3 -8 -8 -4
0 -10 10 6 -3 -7 -8 -4
1 -9 9 5 -4 -8 -9 -5
1 -10 9 6 -4 -9 -9 -5
1 -10 9 6 -4 -9 -9 -5
0 -11 10 7 -3 -8 -9 -5
0 -11 10 7 -3 -9 -9 -6
0 -12 10 6 -2 -9 -9 -6
0 -12 10 6 -2 -8 -9 -6
0 -11 10 6 -2 -8 -8 -6
-2 -11 10 6 -2 -8 -9 -6
-2 -11 11 6 -2 -9 -10 -5
-3 -11 11 7 0 -8 -9 -5
-2 -11 10 6 -2 -9 -10 -6
-2 -11 10 7 -2 -9 -10 -6
0 -11 10 8 0 -8 -9 -6
0 -11 11 9 1 -8 -9 -6
0 -11 11 9 1 -7 -8 -6
0 -11 11 8 1 -7 -8 -6
-2 -11 10 7 1 -7 -10 -7
-3 -12 11 7 2 -7 -10 -6
-3 -12 11 7 2 -7 -10 -7
-4 -13 10 7 1 -7 -10 -7
-6 -15 9 7 0 -8 -11 -8
-5 -15 8 7 0 -8 -10 -8
-2 -11 9 9 0 -7 -9 -7
4 -7 11 10 3 -5 -7 -6
4 -6 12 10 5 -4 -7 -5
2 -9 11 10 4 -4 -8 -5
1 -9 10 9 3 -6 -9 -6
0 -9 11 8 4 -5 -8 -5
0 -10 11 9 4 -4 -8 -5
-2 -10 10 9 3 -5 -8 -7
-2 -10 11 9 4 -5 -7 -6
0 -10 11 10 5 -4 -7 -6
1 -10 10 10 4 -5 -8 -6
0 -9 10 10 5 -5 -8 -6
0 -9 11 11 6 -3 -7 -5
1 -9 12 11 7 -3 -7 -4
0 -9 11 11 6 -3 -7 -5
-2 -9 11 11 7 -3 -6 -5
-2 -9 11 10 7 -3 -7 -5
-3 -10 10 10 6 -4 -7 -6
-4 -11 9 10 7 -4 -8 -6
-4 -11 9 10 7 -3 -8 -6
0 -9 10 11 7 -3 -7 -6
1 -9 11 13 8 -3 -7 -6
-2 -10 10 12 8 -3 -7 -6
0 -9 9 11 7 -2 -7 -6
1 -7 10 11 8 -2 -6 -6
0 -8 10 11 9 0 -6 -5
-2 -8 9 11 8 -2 -7 -6
-3 -9 9 11 9 -2 -7 -6
-3 -9 9 11 8 -2 -8 -6
1 -7 8 11 8 -2 -8 -6
3 -5 10 13 11 1 -5 -4
3 -4 11 13 11 2 -5 -4
-2 -7 10 13 11 1 -6 -5
-3 -9 10 13 11 2 -6 -5
-2 -8 10 12 11 3 -5 -5
-2 -7 11 13 12 4 -5 -4
2 -4 11 13 13 4 -4 -3
4 -2 11 14 14 5 -3 -3
1 -4 10 14 14 5 -3 -3
-2 -6 10 14 14 5 -3 -3
1 -6 10 13 14 4 -3 -4
2 -5 9 14 15 5 -3 -4
1 -5 11 16 16 6 -2 -3
1 -5 10 16 16 7 -2 -2
1 -4 8 14 16 6 -3 -3
1 -4 8 15 17 7 -3 -3
1 -4 8 16 17 8 -3 -3
0 -4 8 16 17 8 -2 -2
-2 -4 7 15 18 7 0 -2
0 -4 7 16 18 8 0 -2
0 -4 7 17 19 9 -2 -3
0 -4 7 17 20 9 -2 -2
0 -4 7 17 20 10 0 0
0 -4 7 18 20 12 0 1
1 1 7 17 21 12 1 0
4 3 8 18 23 14 3 2
3 2 8 20 24 16 4 3
2 0 7 19 23 15 3 2
1 0 8 19 24 15 4 3
2 2 7 19 24 16 4 3
4 2 8 21 26 19 5 3
4 3 8 22 27 20 5 3
4 4 8 22 29 21 7 4
3 4 6 21 28 21 6 4
2 4 5 21 28 22 6 5
2 5 4 21 29 22 6 5
2 6 4 22 31 23 7 6
1 4 4 22 32 24 8 5
0 2 4 22 32 25 8 5
2 4 4 24 33 26 10 7
4 6 4 24 33 27 10 7
2 4 4 24 34 28 11 7
0 2 3 23 33 27 9 7
0 2 3 24 35 28 10 8
4 7 4 25 36 29 11 9
8 12 6 25 38 32 13 11
9 14 6 27 40 33 15 12
7 13 5 26 40 33 15 11
5 12 4 25 40 33 16 10
5 12 4 26 39 34 16 11
5 12 4 26 39 35 17 12
5 11 4 26 40 35 16 12
6 11 3 26 40 35 16 13
6 12 3 26 42 36 17 13
6 13 2 25 40 35 16 13
6 14 2 24 40 35 16 13
6 15 2 23 39 35 17 13
6 15 2 23 39 34 17 14
5 15 1 22 38 34 17 13
5 13 1 21 37 33 17 14
4 12 0 20 34 32 16 13
4 12 0 19 33 30 16 13
4 11 0 18 32 29 16 14
2 10 -2 17 30 27 14 12
2 11 -3 14 28 24 12 11
5 14 -3 13 27 24 12 11
7 17 0 13 27 24 13 13
6 16 -2 12 24 21 11 11
4 14 -2 11 22 19 9 10
4 12 -3 9 19 16 7 8
3 9 -2 9 17 14 7 8
1 6 -3 7 14 11 5 7
2 7 -3 6 13 10 5 6
6 12 0 7 13 10 5 7
9 15 2 8 14 10 4 8
7 13 1 5 11 7 2 5
4 8 0 4 9 5 0 4
2 6 -2 3 7 3 -2 4
1 4 -2 3 6 2 -3 3
0 2 -2 2 4 0 -4 2
2 3 0 2 3 -2 -4 2
6 4 1 4 5 0 -3 2
7 3 3 4 5 0 -4 1
4 -2 3 4 4 -2 -5 2
2 -5 2 2 3 -3 -6 2
2 -6 3 3 4 -2 -5 2
3 -7 4 3 4 -3 -4 1
3 -6 4 2 2 -5 -6 0
4 -5 4 2 2 -5 -6 0
3 -8 5 3 1 -5 -6 1
2 -12 6 4 2 -4 -5 1
0 -13 6 3 1 -5 -6 1
1 -12 5 1 0 -7 -8 0
2 -10 5 2 1 -6 -7 1
3 -9 5 2 1 -6 -6 1
2 -10 5 2 2 -6 -7 0
0 -12 5 0 0 -8 -9 -2
0 -11 6 1 0 -8 -8 0
3 -8 6 2 -2 -8 -9 -2
4 -9 5 2 -2 -9 -10 -2
3 -10 6 2 -2 -9 -9 -2
2 -12 6 3 0 -8 -8 -2
0 -14 6 2 -2 -9 -9 -3
-3 -15 6 2 -3 -11 -10 -4
-2 -14 5 2 -3 -11 -10 -3
2 -10 6 2 -2 -9 -9 -2
4 -8 8 3 -2 -9 -10 -2
3 -9 7 1 -3 -11 -11 -4
2 -10 7 2 -3 -10 -11 -3
2 -10 6 2 -4 -10 -11 -4
1 -13 6 2 -4 -11 -11 -4
-2 -15 6 3 -4 -11 -11 -3
0 -15 6 3 -4 -11 -12 -4
1 -13 7 4 -3 -11 -11 -3
4 -10 7 3 -3 -12 -11 -4
3 -10 7 3 -2 -10 -11 -4
0 -13 6 2 -3 -11 -12 -5
-2 -13 6 2 -3 -11 -13 -5
2 -10 6 3 -3 -10 -12 -4
6 -8 7 4 -2 -10 -11 -2
5 -9 8 5 -2 -9 -10 -2
4 -10 7 4 -3 -11 -11 -3
2 -11 8 4 -2 -10 -11 -2
1 -11 8 4 0 -9 -10 -2
1 -11 8 4 0 -9 -10 -3
1 -10 6 2 -2 -10 -12 -5
1 -10 6 2 -2 -10 -12 -4
1 -10 7 2 -2 -10 -12 -4
1 -9 7 3 -2 -10 -11 -3
1 -11 7 3 -2 -9 -11 -3
0 -14 6 3 -3 -10 -11 -3
-2 -16 6 2 -3 -11 -11 -4
-4 -16 6 2 -3 -11 -12 -5
-2 -14 5 1 -4 -11 -13 -5
3 -9 6 2 -3 -10 -12 -4
4 -8 7 3 -2 -8 -11 -3
2 -9 6 3 -2 -9 -12 -4
3 -9 5 2 -3 -10 -12 -4
6 -6 6 2 -3 -9 -11 -3
5 -7 6 2 -3 -9 -11 -3
3 -10 6 3 -3 -9 -11 -3
3 -9 6 3 -4 -10 -11 -3
4 -8 7 4 -3 -9 -10 -2
4 -9 7 3 -3 -9 -10 -3
2 -10 6 2 -3 -10 -11 -4
1 -10 4 0 -5 -11 -13 -6
1 -9 4 0 -5 -11 -13 -6
3 -8 6 2 -4 -10 -12 -4
5 -7 7 3 -3 -9 -11 -3
4 -8 7 3 -4 -9 -11 -3
2 -10 6 2 -5 -10 -11 -4
3 -9 5 2 -5 -10 -11 -5
5 -8 5 1 -5 -10 -12 -5
5 -6 6 1 -5 -10 -11 -4
4 -6 5 0 -5 -10 -12 -4
3 -6 4 -2 -5 -10 -13 -5
2 -9 5 -2 -5 -10 -13 -4
0 -11 4 0 -5 -11 -13 -4
0 -11 4 0 -5 -10 -13 -5
0 -11 4 -3 -7 -11 -13 -6
0 -11 4 -2 -7 -11 -13 -6
3 -9 5 0 -6 -10 -12 -5
3 -7 7 0 -5 -9 -11 -3
1 -9 6 -2 -6 -10 -12 -4
1 -10 4 -3 -7 -12 -13 -6
1 -9 4 -3 -7 -12 -13 -6
2 -9 4 -3 -7 -12 -13 -5
1 -10 4 -3 -7 -12 -13 -6
1 -10 3 -3 -8 -12 -13 -6
0 -11 4 -3 -8 -12 -13 -6
-2 -12 3 -3 -8 -12 -14 -7
-3 -14 2 -4 -9 -13 -14 -8
-2 -12 2 -4 -9 -13 -15 -8
2 -9 2 -3 -9 -14 -14 -8
5 -5 3 -4 -9 -13 -15 -8
5 -3 4 -2 -8 -12 -14 -7
4 -5 4 -3 -8 -12 -15 -7
3 -8 3 -3 -8 -12 -15 -7
4 -7 2 -4 -9 -13 -15 -7
4 -7 2 -4 -10 -13 -15 -7
3 -9 3 -3 -9 -13 -14 -6
3 -9 4 -3 -9 -14 -14 -6
3 -9 4 -3 -9 -14 -14 -7
3 -9 3 -3 -9 -13 -15 -8
3 -10 4 -2 -8 -12 -14 -7
2 -8 4 -3 -8 -12 -15 -7
1 -7 4 -3 -7 -11 -14 -6
1 -7 5 -2 -6 -10 -13 -5
2 -6 5 0 -5 -9 -12 -4
3 -5 5 1 -5 -9 -10 -3
3 -4 7 2 -3 -8 -8 0
1 -4 7 1 -4 -9 -9 -3
-4 -6 5 -2 -6 -10 -11 -5
-7 -11 3 -3 -7 -11 -12 -7
-9 -12 4 -3 -7 -11 -13 -7
-4 -6 8 2 -5 -9 -11 -5
8 6 13 7 0 -6 -7 0
10 8 16 10 2 -4 -5 1
5 3 15 9 0 -5 -6 0
5 3 13 8 0 -5 -6 0
7 6 13 9 1 -4 -5 1
6 8 13 9 2 -4 -5 2
6 10 10 6 0 -5 -6 1
7 10 7 4 0 -5 -5 1
6 10 2 1 -3 -5 -6 1
5 10 -2 -2 -3 -5 -6 2
5 9 -4 -3 -4 -6 -6 2
6 8 -7 -5 -6 -7 -7 2
6 7 -9 -6 -8 -9 -7 1
6 6 -8 -5 -8 -7 -5 1
5 5 -8 -6 -8 -8 -5 1
5 4 -8 -6 -8 -8 -5 2
6 5 -10 -5 -9 -9 -7 1
7 6 -9 -5 -8 -8 -7 1
8 8 -9 -4 -7 -8 -8 1
10 9 -10 -5 -7 -8 -7 1
11 10 -10 -4 -7 -8 -6 1
10 7 -9 -3 -7 -7 -5 2
9 5 -7 0 -6 -5 -4 4
9 5 -6 0 -5 -5 -3 5
7 4 -4 -2 -5 -6 -3 4
4 2 -2 -2 -5 -6 -4 4
2 -2 -2 -3 -8 -9 -6 1
-2 -6 1 -3 -9 -11 -7 -2
-4 -9 1 -6 -12 -14 -11 -5
-3 -8 2 -6 -12 -14 -12 -6
1 -4 2 -6 -12 -15 -13 -7
2 -3 3 -4 -11 -13 -13 -5
1 -6 3 -4 -12 -13 -12 -5
1 -10 3 -4 -12 -13 -12 -5
0 -12 4 -4 -12 -13 -12 -5
-2 -14 4 -3 -13 -15 -13 -5
-3 -15 5 -3 -13 -16 -14 -6
-2 -16 5 -4 -13 -17 -14 -7
0 -16 5 -5 -13 -17 -14 -7
-2 -16 5 -5 -13 -17 -14 -7
-2 -15 6 -3 -13 -15 -13 -7
1 -13 6 -4 -13 -16 -15 -8
2 -14 5 -4 -14 -16 -15 -8
1 -16 5 -4 -14 -16 -15 -7
0 -16 6 -3 -13 -16 -14 -7
0 -16 6 -3 -13 -17 -14 -7
0 -16 7 -2 -12 -16 -14 -7
0 -16 6 -3 -13 -16 -14 -8
-3 -17 6 -4 -14 -17 -14 -8
-4 -19 4 -6 -16 -19 -16 -9
-6 -22 5 -5 -17 -19 -17 -10
-8 -24 4 -6 -18 -20 -18 -12
-10 -26 3 -6 -19 -21 -19 -12
-7 -24 4 -6 -18 -20 -19 -12
-3 -19 5 -4 -16 -19 -17 -10
4 -12 8 -2 -14 -17 -16 -8
5 -11 9 0 -14 -17 -17 -8
-2 -17 7 -3 -15 -19 -18 -10
-5 -21 5 -5 -17 -20 -20 -12
-3 -17 7 -5 -14 -18 -17 -10
2 -11 7 -4 -15 -19 -17 -11
1 -12 8 -3 -16 -19 -16 -10
-3 -16 7 -4 -16 -19 -17 -10
-4 -17 8 -3 -15 -18 -16 -10
-2 -16 8 -3 -16 -18 -16 -11
0 -15 8 -3 -16 -19 -16 -11
1 -14 8 -3 -16 -18 -15 -10
-2 -15 8 -3 -15 -18 -14 -9
-4 -16 8 -4 -15 -18 -15 -9
-4 -17 8 -5 -17 -20 -16 -9
-5 -17 9 -5 -18 -22 -17 -10
-5 -17 10 -5 -20 -25 -19 -11
-5 -17 11 -6 -23 -28 -22 -14
-9 -19 11 -7 -23 -29 -24 -16
-12 -21 9 -7 -23 -29 -25 -19
-10 -20 11 -4 -19 -25 -23 -18
-6 -17 15 6 -9 -15 -16 -14
-4 -17 20 18 6 -2 -9 -9
-3 -17 22 30 21 14 0 -6
2 -15 23 44 40 32 11 3
7 -10 22 55 57 52 25 12
12 -5 18 59 70 72 43 24
16 2 11 56 82 99 66 40
21 11 1 48 91 128 93 59
26 23 -12 30 91 152 117 76
31 31 -26 8 84 171 139 92
35 36 -41 -16 72 181 154 105
38 37 -52 -34 59 181 160 110
38 36 -56 -52 39 168 153 106
34 32 -54 -70 13 141 136 96
26 25 -52 -91 -21 104 110 79
17 18 -53 -111 -56 60 76 58
10 13 -52 -123 -86 17 40 35
3 10 -49 -126 -106 -25 7 16
-5 8 -46 -122 -118 -57 -18 1
-10 6 -43 -110 -117 -73 -28 -7
-11 3 -39 -92 -102 -71 -29 -11
-8 2 -34 -74 -86 -64 -27 -12
-4 5 -30 -63 -73 -57 -24 -11
0 6 -26 -52 -61 -46 -19 -7
1 4 -23 -41 -49 -35 -15 -5
-2 -2 -20 -33 -40 -29 -12 -6
-2 -4 -18 -26 -34 -25 -10 -6
1 -6 -13 -18 -27 -21 -8 -4
3 -8 -7 -11 -21 -17 -6 -2
2 -10 -3 -6 -17 -15 -5 0
2 -11 -2 -4 -14 -14 -5 -2
2 -10 0 -2 -12 -13 -5 -3
2 -10 2 1 -11 -12 -5 -4
2 -10 3 1 -10 -12 -6 -5
1 -12 4 2 -10 -12 -6 -5
0 -13 3 2 -11 -12 -8 -6
-3 -15 3 2 -11 -13 -9 -7
-3 -16 4 4 -10 -13 -8 -6
2 -13 6 8 -8 -10 -5 -4
7 -10 8 11 -4 -10 -3 -3
7 -10 7 10 -4 -11 -4 -4
4 -13 6 8 -5 -12 -6 -5
2 -13 7 8 -5 -11 -5 -5
2 -12 7 8 -4 -10 -5 -5
1 -13 5 7 -6 -10 -6 -6
1 -15 6 7 -7 -10 -5 -5
1 -15 6 8 -6 -11 -5 -5
1 -14 6 9 -6 -11 -6 -5
1 -14 6 10 -5 -10 -6 -5
0 -13 6 11 -5 -10 -6 -6
0 -13 6 11 -4 -10 -7 -6
0 -13 6 11 -4 -11 -8 -7
0 -14 5 10 -4 -11 -8 -7
-2 -15 6 10 -4 -11 -8 -7
-2 -16 6 9 -4 -11 -8 -8
1 -14 7 10 -3 -10 -5 -7
2 -12 7 11 -3 -9 -4 -6
1 -14 6 11 -3 -10 -5 -7
-2 -16 6 10 -4 -10 -6 -7
0 -16 7 12 -3 -9 -4 -5
2 -13 7 13 0 -7 -4 -5
3 -12 6 12 0 -8 -4 -6
3 -12 5 11 -2 -9 -4 -6
2 -12 5 12 -2 -9 -4 -6
2 -11 3 11 -3 -9 -5 -7
1 -10 4 11 -2 -9 -5 -7
1 -11 5 12 0 -8 -4 -5
2 -11 4 11 -2 -8 -5 -6
2 -12 6 13 1 -7 -3 -4
2 -12 6 14 1 -7 -3 -4
2 -12 5 13 0 -7 -3 -4
2 -12 5 12 0 -8 -4 -4
2 -11 4 12 1 -8 -4 -4
2 -11 3 12 2 -7 -3 -4
1 -10 2 11 1 -7 -3 -5
1 -10 2 10 0 -7 -3 -6
2 -8 2 11 1 -7 -3 -6
3 -6 2 12 2 -6 -3 -6
3 -6 3 13 4 -5 -3 -6
2 -7 4 14 4 -5 -2 -6
1 -9 5 14 4 -4 -2 -6
1 -9 4 13 4 -4 -2 -6
1 -9 2 13 4 -4 -2 -5
